statement,source,veracity,date
"""I had to lay off 48 people last year,"" which has exacerbated the lack of law enforcement officers in the county that respond quickly to crime calls.",David A. Clarke Jr.,0,2013-01-31
"Says ""the area damaged by Hurricane Sandy represents roughly 10 percent of our nation's economy.""",Rodney Frelinghuysen,1,2013-01-31
"""Approximately 43 percent of all college grades today are A's, an increase of 28 percentage points since 1960.""",Thomas Lindsay,1,2013-01-31
"Says according to the FBI, more people are killed each year with hammers and clubs than rifles.",Greg Abbott,1,2013-01-30
"Says Chuck Hagel has called for ""an end to our nuclear program.""",Americans for a Strong Defense,0,2013-01-30
"""When George Bush became president of the United States, 17 million people were in poverty. When he left, 30 million people were in poverty.""",Marcia Fudge,0,2013-01-30
"""One out of every five law enforcement officers that's killed is killed with an assault weapon.""",Dianne Feinstein,1,2013-01-29
Says state workers have not had across-the-board raises in six years.,Michelle Rehwinkel Vasilinda,1,2013-01-29
"""Spending of government money is 17 percent less than it was a decade ago.""",Nathan Deal,1,2013-01-29
"""Since last year’s address, more than 10,000 jobs created -- many on the high end of the employment scale.""",Nathan Deal,1,2013-01-29
"Since taking office in January 2011, ""the ‘rainy day’ fund has increased by 226 percent.""",Nathan Deal,1,2013-01-29
A Paul Ryan-Scott Walker (or Scott Walker-Paul Ryan) ticket for the White House in 2016 would be unconstitutional because both men live in Wisconsin.,Internet commenters,0,2013-01-28
"""We just had someone last week in Neenah near a school kill someone with a bow and arrow.""",Scott Walker,0,2013-01-28
"The federal government owns 30 percent of the land in the 50 states, or about 650 million acres.",J.D. Van Brink,1,2013-01-28
"A Republican-sponsored Wisconsin mining bill ""will take at least seven years to create jobs.""",Chris Larson,0,2013-01-27
"""Religious groups like Knights of Columbus have been forced to allow same-sex marriage ceremonies in their facilities, against their beliefs.""",National Organization for Marriage,0,2013-01-27
"Says ""Abortion clinics in Oregon, as in most states, have no state oversight and are not held to basic health or safety standards.""",Gayle Atteberry,0,2013-01-26
"Under President Barack Obama, ""8.3 (million) fewer Americans are working today than there were four years ago.""",Sean Hannity,0,2013-01-25
We have the fourth highest in-state tuition for public universities in the country.,Maggie Hassan,1,2013-01-25
"Says U.S. Rep. John Barrow, D-Ga., celebrates gun ownership even in the face of school shootings.",Coalition to Stop Gun Violence,0,2013-01-25
"The tax penalty that the government imposes if you don't buy health insurance ""is lower than it would have cost to buy insurance.""",Ron DeSantis,1,2013-01-24
"Says Virginia economic development officials ""decided they didn’t want to bid on"" his company's electric automobile plant.",Terry McAuliffe,0,2013-01-24
"The Milwaukee County Board’s staff grew from four workers to 38 over four decades and now costs taxpayers ""a lot more,"" while the total county workforce was more than cut in half in the same period.",Chris Abele,1,2013-01-24
"Says Chris Christie’s plan ""to kick-start our economy"" is to propose an ""income tax cut that disproportionately benefits the wealthy, and...he's still proposing it.""",Barbara Buono,0,2013-01-24
"Says Ohio’s economic recovery ""started in February 2010.""",Ted Strickland,1,2013-01-24
"""Even members of the NRA, when they were polled recently, were under the impression that everyone has a criminal background check.""",Jackie Speier,1,2013-01-23
"""Poverty levels (are) at an all-time high.""",Bernie Sanders,0,2013-01-23
"Says Texas will be ""majority Hispanic in six years.""",George P. Bush,0,2013-01-23
"""Wind powers nearly 13 million homes across the country.""",Jennette Gayer,1,2013-01-23
"""The governor does not have any power to veto a referendum [on same-sex marriage] that would be a constitutional amendment.""",Christopher Plante,1,2013-01-23
"""It is ironic that (First Energy Corp. is) going to have a name on our (football stadium) where we (Cleveland Public Power) supply the electricity.""",Mike Polensek,1,2013-01-22
"Says Rick Scott’s proposal for election reform ""only mandates 48 hours of early voting.""",Pink Slip Rick,1,2013-01-22
"Says his elections proposal would allow ""a potential of 168 hours (of early voting), which I think is the most we’ve ever had.""",Rick Scott,1,2013-01-22
Social Security has nothing to do with the federal deficit.,Hank Johnson,0,2013-01-22
"Says ""in this next biennium, the cost of primary and secondary education is going to increase by more that $1000 per student. Half of that $1000 – $500 per student – is accounted for by the increased cost of PERS alone.""",John  Kitzhaber,1,2013-01-21
"Says a recent study shows Florida students are second in the world in fourth grade reading, behind Singapore.",Rick Scott,1,2013-01-21
"""Nearly a quarter of all adults in this state have some college credit without a degree.""",Scott Walker,1,2013-01-21
"Virginia ""spends less per student today than we did in 2008.""",David Toscano,1,2013-01-21
"Abraham Lincoln ""visited and some say even danced in (the Ohio Senate) chamber.""",Keith Faber,1,2013-01-21
"""In total, we have added nearly 75,000 private sector jobs in New Jersey since we took office in January 2010.""",Chris Christie,1,2013-01-20
"""The average age of first marijuana use is 12.""",Protect Families First,0,2013-01-20
"""It costs $10,000 a year to keep a child in school; it costs $30,000 a year to keep someone in prison.""",John  Kitzhaber,1,2013-01-18
"Since 1968, ""more Americans have died from gunfire than died in … all the wars of this country's history.""",Mark Shields,1,2013-01-18
"In 2011, more people were murdered with knives, ""hands or feet"" or ""clubs and hammers"" than with any type of rifle.",Facebook posts,1,2013-01-18
"""I am now the No. 2 member of this House in terms of length of service.""",William G. Batchelder,1,2013-01-18
"In 2010, 2,694 young people were killed by gunfire. 1,773 were victims of homicide; 67 were elementary school-age children.",College presidents,1,2013-01-18
"The state budget proposal has been submitted ""on time and [it's] the earliest that a governor has done so in over two decades.""",Lincoln Chafee,1,2013-01-18
"""Gross income tax receipts are exceeding the Administration’s projections for this fiscal year prior to Sandy.""",Chris Christie,1,2013-01-17
"""Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.""",Tom Niehaus,1,2013-01-17
Says Texas public school funding grew three times the rate of enrollment from 2002 to 2012.,Rick Perry,0,2013-01-16
"The United States has ""an immigration system where only 6.5 percent of people who come here, come here based on labor and skill.""",Marco Rubio,1,2013-01-16
"""In Minnesota, well over 6,200 election-day registrations from 2008 proved fraudulent.""",Club for Growth,0,2013-01-16
"Members of Congress ""specifically exempted themselves from many of the laws they have passed, such as being exempt from any fear of prosecution for sexual harassment"" ... (and) from the healthcare reform.""",Chain email,0,2013-01-16
"U.S. Senate candidate Todd Akin was ""partly right"" that a woman's body has a way of shutting down so that a pregnancy doesn't occur if she's raped.",Phil Gingrey,0,2013-01-16
"""Semi-automatic weapons, whether pistol or rifle, were designed for use by the military on the battlefield.""",Providence City Council,0,2013-01-16
"Says in ""our region,"" 2011 was worst drought year ever recorded.",Kirk Watson,1,2013-01-15
"""Even if you took literally every single ounce of platinum in the world, it still wouldn’t add up to enough needed to pay down our nation’s debt.""",National Republican Congressional Committee,1,2013-01-14
"""200 consumer laws were destroyed"" in 2011 when Gov. Scott Walker signed Act 92.",Vince Megna,0,2013-01-14
"Seven of America’s 10 wealthiest counties are in the Washington, D.C., area.",Jim Jordan,1,2013-01-14
"""[W]e see America's prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!""",Hank Johnson,1,2013-01-14
"Since the federal Violence Against Women Act was adopted in 1994, ""cases of domestic violence have fallen by 67 percent.""",Gwen Moore,1,2013-01-13
"Says ""how much money the government is collecting from people...in terms of the gross domestic product"" is ""the lowest in 40, 50 years.""",Bill Pascrell,1,2013-01-13
"""The amount of money that we put into running our own state legislature is nearly as much as we put into the University of Rhode Island.""",Dawson Hodgson,0,2013-01-13
"Says if you are on your bike in a crosswalk, all you have to do is dip your wheel into the road and cars must legally stop.",BikePortland.org,1,2013-01-11
Says 11 states have more people on welfare than employed.,Chain email,0,2013-01-11
"Members of Congress can ""retire with the same pay after only one term"" in office",Chain email,0,2013-01-11
"Says his transportation plan ""would make Virginia the first state in the nation to eliminate the state tax on gasoline.""",Bob McDonnell,1,2013-01-10
"""A far different picture from the prior eight years, which saw 115 increases in taxes and fees.""",Chris Christie,1,2013-01-10
"Says Texas is ""dead last in support for mental health.""",Wendy Davis,1,2013-01-10
"Obamacare includes ""a $63 charge every American will begin paying (in 2013) as a way to cover some of the increased costs associated with providing health insurance to those with pre-existing conditions.""",Jim Renacci,0,2013-01-10
"""Our numbers are going up at the airport.""",James Bennett,0,2013-01-10
"""Every day, 34 Americans are murdered with guns.""",Pardeep Kaleka,1,2013-01-09
"Ohio's judges, ""compared to other similar states, are being woefully underpaid.""",Bill Seitz,1,2013-01-09
"""While President Obama says all options are on the table for preventing a nuclear Iran, Hagel says military action is not a viable, feasible, responsible option.""",Emergency Committee for Israel,0,2013-01-08
Says a federal plan to expand Medicaid would cost Florida taxpayers $26 billion over 10 years.,Rick Scott,0,2013-01-08
"Says 31 percent of Texas physicians accept all new Medicaid patients, down from 67 percent in 2000.",Texas Medical Association,1,2013-01-08
U.S. Sen. Saxby Chambliss votes more with Democrats than with conservatives.,Amy Kremer,0,2013-01-08
"""Eleven states complete their [legislative] sessions within three calendar months, and another five only meet biennially.""",Kenneth Block,1,2013-01-08
"There is ""over 20 times more energy"" in a proposed Southside uranium mining site than ""there is in all the oil that’s estimated to be off Virginia’s coast""",Patrick Wales,1,2013-01-07
"""Our pension system is the only one in the country that’s 100 percent funded.""",Scott Walker,1,2013-01-06
"""Hurricane Sandy, the most destructive Atlantic storm ever.""",Environment New Jersey,0,2013-01-06
"""Switzerland (where the government) issues every household a gun . . . has the lowest gun related crime rate of any civilized country in the world!!!""",Facebook posts,0,2013-01-06
"The so-called doc fix in the fiscal cliff deal will cut payments ""for treating illnesses disproportionately impacting minorities, including end stage renal disease and diabetes.""",Marcia Fudge,1,2013-01-04
Says George Washington said a free people should be armed to guard against government tyranny.,Louie Gohmert,0,2013-01-03
"Says ""10 days after Hurricane Katrina, this chamber passed two separate bills amounting to $60 billion. It has been nearly two months since we had Superstorm Sandy, and nothing has passed.""",Robert Menendez,1,2013-01-03
"""The problem with raising tax rates on the wealthiest Americans is that more than half of them are small business owners.""",John Boehner,0,2013-01-03
"AIG has fully repaid the federal government ""plus a profit of more than $22 billion.""",American International Group,1,2013-01-02
"Among Milwaukee Public Schools students, ""86 percent are behind in reading and 80 percent are behind in math.""",Don Pridemore,1,2013-01-02
"""Connecticut has the fifth toughest gun control laws in the country, including an assault weapons ban that bans 35 different weapons.""",Jack Kingston,1,2013-01-02
"""Individuals with mental illnesses die an average of 25 years earlier than those without a mental illness.""",Terry  Russell,1,2013-01-02
"Says that under Texas law, it takes six years to close a failing school.",David Dewhurst,0,2013-01-01
"Says ""our economy in New Jersey gets $38 billion from the businesses at the Shore.""",Chris Christie,0,2012-12-30
"""Did U know? Block Island Wind Farm would mean 40% est. drop in BI electric rates.""",Deepwater Wind,1,2012-12-29
"""Even hunters are restricted from using large capacity magazines: there is a five cartridge limit for large game hunting, and three for bird hunting.""",Ginny Burdick,1,2012-12-28
"""You see 34 people (are) murdered every single day"" by gunfire in America.",Cory Booker,1,2012-12-27
"""Faculty salaries at UW System institutions have now fallen more than 18 percent below the national average.""",Kevin Reilly,1,2012-12-26
Says Virginia is the biggest state that does not have a major league sports team.,Jimmy Barrett,1,2012-12-26
"""One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids don’t graduate.""",Paul Ryan,1,2012-12-23
"""The price tag amounted to nearly $4,200 for every man, woman and child in the state.""",Steve Lonegan,0,2012-12-23
"""[T]he Georgia Dome has returned $10 billion in economic impact to the state of Georgia.""",Zell Miller,0,2012-12-21
"Says Charlie Crist and Missouri Rep. Todd Akin ""hold same abortion views. No exception except the life of the mother.""",Lenny Curry,0,2012-12-20
"Says the Nike bill ""is not a tax break ... this does not lower the taxes that Nike will pay nor does it prevent the Legislature from raising those taxes in the future.""",John  Kitzhaber,1,2012-12-20
"Northern Virginia is the most ""heavily trafficked place in the country.""",Bob McDonnell,1,2012-12-20
Says Texas economy is about 30 percent larger than Australia’s.,Larry Kilgore,0,2012-12-20
"""If lawmakers fail to avert the fiscal cliff, 18 percent of the federal money that is sent to the states will be eliminated.""",The Campaign to Fix the Debt,0,2012-12-20
Says the Senate will have a record number of female senators in 2013.,Kay Bailey Hutchison,1,2012-12-19
"Thanks to actions by the Milwaukee County Board on the 2013 budget, the amount of county taxes on the average home in the city of Milwaukee ""would be a $19 decrease.""",Marina Dimitrijevic,0,2012-12-19
"Says the Portland Children’s Levy holds its ""administrative expenses to less than 5 percent.""",Dan  Saltzman,1,2012-12-19
Says Texas has the 15th largest economy in the world.,Texas secession petition,1,2012-12-18
"""This week the House of Representatives voted to remove the word ‘lunatic’ from federal law.""",Allen West,1,2012-12-17
"Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker.",Jim Moran,1,2012-12-17
"""Scott Walker has even removed the 250,000 jobs promise from his website.""",Mike Tate,0,2012-12-17
"""In the last 15 years, we've witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000.""",ACLU Foundation of Georgia,1,2012-12-17
"President Barack Obama’s Fiscal Year 2013 budget proposal ""couldn't get support from either party in the House or the Senate.""",Kelly  Ayotte,0,2012-12-16
"Wisconsin has created ""just under 100,000"" jobs since he took office.",Scott Walker,0,2012-12-16
"""Right now one of our highest job growth sectors is Leisure and Hospitality. We've added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs.""",Lou Greenwald,1,2012-12-16
"""If the House of Representatives fails to extend the middle-class tax cuts, 400,000 middle-class Rhode Island families will see their federal income taxes increase.""",Barack Obama,0,2012-12-16
"Says, ""In the last four years we’ve cut $36 million in ongoing revenue.""",Sam Adams,0,2012-12-15
"Says personal-injury trial lawyers ""have provided over 80 percent of the funding for the Texas Democratic Party for over a decade.""",Sherry Sylvester,1,2012-12-14
"""Fourteen million Americans' mortgages are greater than the value of their homes.""",Dennis Kucinich,1,2012-12-14
"""In recent years, menhaden numbers along our coast have plummeted by 90 percent.""",Pew Environment Group,0,2012-12-14
"""More than 50 percent of those people getting minimum wage in this state are high school students.""",Robert Singer,0,2012-12-13
Says Texas passed a state ‘Dream Act’ before any other state.,Juan Hernández,1,2012-12-12
"Agriculture ""is the strongest industry in Ohio.""",John Kasich,1,2012-12-12
Says the Obama administration plans to ban all weapons for U.S. citizens through international treaties.,Chain email,0,2012-12-11
"Says that ""the state spends more money on tax giveaways than it receives in tax collection.""",Our Oregon,1,2012-12-10
Social Security has not contributed to the debt and the deficits.,Jeanne Shaheen,0,2012-12-10
"""In 2008, tourism brought in $38 billion dollars and supported more than 300,000 jobs in the state of New Jersey.""",Frank Lautenberg,1,2012-12-09
"""The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.""",Lincoln Chafee,1,2012-12-09
"November 2012 was ""a record year of turnout. More people voted before Election Day using absentee ballots and voting early than ever before in our history.""",Ken Detzner,1,2012-12-07
"""A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.""",Mike DeWine,1,2012-12-07
Says real estate taxes were put in place to pay for Obamacare.,Todd Hunter,0,2012-12-06
"Says Walmart employees represent the largest group of Medicaid and food stamp recipients in many states, costing the taxpayer $1,000 per worker.",Alan Grayson,1,2012-12-06
"Says food stamp growth, while high, lagged the rise in unemployment.",Anne Goodman,1,2012-12-06
"Public employees receive ""something like 25 percent of the paychecks that are issued in Rhode Island.""",Mark S. Zaccaria,0,2012-12-06
"Says that in 2011, Oregon had ""the second fastest growing economy in the nation.""",John  Kitzhaber,1,2012-12-05
"""The poverty level in"" the Dallas school district ""is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark.""",Dan Micciche,1,2012-12-05
"Democratic Party candidates for the state Assembly ""actually received 200,000 more votes statewide"" than their Republican counterparts in the 2012 election",Sandy Pasch,1,2012-12-05
Says he has never voted for raising taxes.,Saxby Chambliss,1,2012-12-05
"Says ""the number of Americans living at or below the poverty line is at its highest level since"" 1964.",Barbara Buono,1,2012-12-03
"Says he first unveiled his new legislative agenda in Wisconsin, not in California as critics complain",Scott Walker,0,2012-12-02
"Says in January 1992, George H. W. Bush ""probably had a 90 percent or even higher approval rating after the first Gulf War.""",John Wisniewski,0,2012-12-02
"""If you and I fail to defund ObamaCare now, some 16,000 new IRS agents will be begin prying into our private medical records, eyeing each and every one of our treatments and prescriptions for ""violations’.""",Association of Mature American Citizens,0,2012-12-02
"Says legislation supported by gay rights activists would strip ""mother"" and ""father"" from future Texas birth certificates.",Texas Values,0,2012-11-30
"Says the state is required ""pick up 70 percent of the cost"" of K-12 education.",John  Kitzhaber,0,2012-11-30
"""National studies are already showing the negative effects that the health care law is having on businesses and our economy. Businesses across the country are raising their prices … (or) cutting jobs as a result of the added cost.""",Pam Bondi,0,2012-11-30
"""Our race was the closest U.S. Senate race in Ohio in 36 years -- when Howard Metzenbaum defeated Robert Taft in 1976.""",Josh Mandel,1,2012-11-30
"A ""foreclosure tax"" that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.",National Association of Realtors,1,2012-11-30
"""We have more people working in clean and green energy than in oil and gas in this country.""",Sheldon Whitehouse,1,2012-11-30
"Says that in the 1985 election former Gov. Tom Kean had ""the largest winning margin for a gubernatorial candidate in Jersey history.""",Raymond Bateman,1,2012-11-29
"""In the past year alone, Ohio businesses have created more jobs than almost every other state in the country.""",Jobs Ohio,1,2012-11-29
Says veterans’ disability claims backlog doubled in Obama’s first term.,John Cornyn,1,2012-11-28
"Operating a health care exchange would be ""illegal"" in Georgia and some states because of legislation passed in those states.",Michael Cannon,0,2012-11-28
"""When you look at the number of crashes before the cameras were installed compared to after, they’re virtually the same.""",Steve Acenbrak,1,2012-11-27
"""For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.""",Robert Menendez,1,2012-11-26
"""There is no evidence that poor people abuse drugs more frequently than any other socio-economic group.""","Joseph ""Joe"" Deshotel",0,2012-11-26
"Says the tax code is effectively subsidizing ""the marketing efforts of fast food and junk food companies by as much as $19 billion over 10 years.""",Dennis Kucinich,1,2012-11-26
"The ""error rates"" for the Fulton County elections department are ""well below the average.""",Emma Darnell,0,2012-11-26
"Says Gov. Scott Walker has ""led people to believe that if Wisconsin doesn’t implement a (health-care) exchange, Obamacare doesn’t happen here.""",Jon Erpenbach,0,2012-11-25
"Says because of Hurricane Sandy in Atlantic City ""much of that boardwalk no longer exists -- just the pillars where the boardwalk used to be.""",Frank Lautenberg,0,2012-11-25
"Says Delta Air Lines has ""once again broken a promise they made to me and to the people of Memphis.""",Steve Cohen,1,2012-11-25
"""We’ve outdrawn the Super Bowl for a little while now in the arenas and stadiums that we’ve followed them in for the Super Bowl. We’ve gone in after [the NFL] and surpassed their ticket sales.""",Paul Levesque,1,2012-11-22
"Says she is ""entering in the most diverse class ever,"" of U.S. Representatives",Ann McLane Kuster,1,2012-11-21
Says Fran DeWine’s made-from-scratch dinner rolls are a delicious favorite in a traditional Thanksgiving dinner.,Mike DeWine,1,2012-11-21
Says about 25 Texas cities and 39 states have banned texting while driving.,Tom Craddick,1,2012-11-21
"""Wisconsin is the only state that allows parents or guardians to purchase alcohol for their children – regardless of whether that child is seven or 20 years old – at bars and restaurants.""",Health First Wisconsin,0,2012-11-21
"""Mitt Romney received exactly zero votes in at least 12 Cuyahoga County precincts.""",Chain email,1,2012-11-21
"A precinct in the Allen West-Patrick Murphy recount has ""7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!""",Facebook posts,0,2012-11-20
"Says the initial Portland plastic bag ban represented ""only a modest share of total single-use checkout bag use.""",Sam Adams,0,2012-11-20
"""In 2011, our state-run lottery funded New Jersey classrooms by over $930 million.""",Big Gamble NJ,1,2012-11-19
"""In one county alone in Ohio, President Obama received 106,258 votes. But there were only 98,213 eligible voters.""",We the People petition,0,2012-11-19
"Says New Jersey is ""50th in return of our federal tax dollars.""",Chris Christie,1,2012-11-18
"""More Tennesseans have hunting and fishing licenses than vote.""",Lamar Alexander,0,2012-11-18
Three thousand felons voted in Rhode Island in 2008.,Carolyn Medeiros,1,2012-11-18
"Says the Multnomah County Library system ""is the second busiest in the nation.""",Libraries Yes! Committee,1,2012-11-16
"Barack Obama is ""only the second Democrat in the last 75 years to win Ohio twice with more than 50 percent of the vote.""",Chris Redfern,1,2012-11-16
"Says that with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.""",Mike White,0,2012-11-15
"""Every American now is $51,000 in debt. That’s money I owe, that’s money my children owe before they even go to kindergarten, that’s their check to the federal government right now.""",Caroline Casagrande,1,2012-11-15
"Budget analysts say the looming tax hikes and spending cuts would  ""take us into a recession and kill jobs.""",Rob Portman,1,2012-11-15
"Says the state of Texas rates as ""unacceptable"" almost 500 of the state's 8,000 public schools.",Dan Patrick,1,2012-11-14
"When it comes to income taxes, Wisconsin is ""one of the best places in the country to be poor"" but ""top 4 or 5 worst"" for middle-income earners.",Robin Vos,1,2012-11-14
"""Sixty percent of New Jersey doctors do not accept Medicaid patients.""",Steve Lonegan,1,2012-11-14
"""Clayton County offers the lowest operating millage rate in Metro Atlanta.""",Clayton County Government,0,2012-11-14
"Says a poll shows that ""without a name attached, Democrats are just one point behind"" Gov. John Kasich.",Chris Redfern,1,2012-11-14
Half the lottery directors across the country had not run a lottery before they were hired.,Brian Robinson,1,2012-11-13
"Says Mike Dovilla supports a plan ""that could allow a foreign corporation to take over the Ohio Turnpike"" ",Ohio Democratic Party,0,2012-11-12
"""Revenues are 15 percent of GDP — it’s still in the range of the lowest it’s ever been.""",Saxby Chambliss,1,2012-11-12
"Says that over the past 20 years, Texas public school spending rose 142 percent and per-pupil spending more than tripled when adjusted for inflation.",Jason Isaac,0,2012-11-12
"""Wisconsin still ranks first among the 50 states in manufacturing jobs per capita.""",Rebecca Kleefisch,1,2012-11-11
"Says ""I was the first governor in America to endorse Mitt Romney.""",Chris Christie,0,2012-11-11
"Says Tennessee’s higher education funding model ""is 100 percent outcomes-based"" and ""we are already seeing this model changing the way our postsecondary institutions do business.""",Bill Haslam,1,2012-11-11
"""Texas’ population is projected to double in the next 50 years or so, but our basic amount of water will remain about where it is now.""",Kirk Watson,1,2012-11-09
"Says Jeb Bush ""extended early voting"" after seeing ""long lines.""",Charlie Crist,0,2012-11-08
"""Mitt Romney made over a hundred million dollars by shutting down (a Marion, Ind. paper) plant.""",Priorities USA Action,0,2012-11-05
"""The higher the education level, the more likely they are to vote Democratic.""",Larry Sabato,1,2012-11-05
"""We have more hospitals that are children’s hospitals than any other state in the union."" ",William G. Batchelder,0,2012-11-05
"Says that ""Tennessee law requires that schools receive half of proceeds -- $31 million per year"" -- from a half-cent increase in the Shelby County sales tax.",Stand For Children Tennessee,1,2012-11-04
Says Ovide Lamontagne wants to eliminate kindergarten.,New Hampshire Democratic Party,0,2012-11-03
"""Sheldon Whitehouse [got] a secret closed-door briefing, warning of the [2008 economic] crash.""",People's Majority,0,2012-11-03
"Says U.S. Senate candidate Tammy Baldwin ""proposed a $3.9 trillion tax increase -- a tax increase so extreme"" that ""even Nancy Pelosi voted against it.""",National Republican Senatorial Committee,1,2012-11-02
"Says Mitt Romney ""was director of a company that stole millions from Medicare.""",Priorities USA Action,1,2012-11-02
"Says during George W. Bush’s administration ""we were losing millions of jobs per month,"" while under Barack Obama we have ""three years of gaining hundreds of thousands of jobs per month.""",Michael Moore,0,2012-11-02
"Says Connie Mack ""wrote a letter to the Department of Transportation in order to get $29 million in stimulus for his congressional district.""",Bill Nelson,1,2012-11-02
"""After Patrick Murphy’s charges were dropped, Murphy’s father gave the prosecutor a huge campaign donation.""",Allen West,0,2012-11-02
"Says Mitt Romney wants to ""get rid of Planned Parenthood.""",Planned Parenthood Action Fund,0,2012-11-02
"Says ""Romney supported a law that could have made most common forms of birth control illegal.""",Florida Democratic Party,0,2012-11-02
"""The Ryan budget gets rid of Medicare in 10 years and turns it into a voucher program.""",Sheldon Whitehouse,0,2012-11-02
"""Bill Nelson actually voted in favor of higher taxes 272 times.""",Connie Mack,0,2012-11-01
"Says Connie Mack was ""the only member of the Florida delegation that voted against a bill to help NASA.""",Bill Nelson,1,2012-11-01
"Says U.S. corporate tax rate is ""highest in the world at 35 percent.""",Michael McCaul,1,2012-11-01
"Says that Sherrod Brown is an ""Obama rubber stamp"" for ""supporting the job-killing cap and trade plan.""",Josh Mandel,0,2012-11-01
"Says opponent Chad Chadwell ""wants condom techniques demonstrated to your children.""",Tere McCann,0,2012-11-01
Says the NAACP's Ohio chapter has endorsed Issue 2.,Voters First Ohio,0,2012-11-01
"Sheldon Whitehouse voted for a ""$525-billion tax increase on the middle class.""",Barry Hinckley,0,2012-11-01
"An Obama campaign tactic for rallying voters is to ""offer them cell phones.""",Adam Putnam,0,2012-10-31
"Says Charlie Bass supports Paul Ryan plan that forces seniors to pay $6,400 a year more for health care so millionaires can pay less in taxes.",House Majority PAC,0,2012-10-31
"Says ""Mitt Romney’s plan rolls back regulations"" on banks.",Barack Obama,1,2012-10-31
"""There is no war on coal. Period. There are more coal jobs and more coal produced in Ohio than there were five years ago, in spite of the talking points and the yard signs.""",Sherrod Brown,1,2012-10-31
"Says she voted against the Medicare Part D prescription drug program ""because it was unfunded.""",Tammy Baldwin,0,2012-10-30
"Says Democrats first proposed prohibiting the government from negotiating prices for prescription drugs in Medicare Part D and he ""had nothing to do with"" that provision in the law.",Tommy Thompson,0,2012-10-30
"Says Barack Obama ""sold Chrysler to Italians who are going to build Jeeps in China"" at the cost of American jobs.",Mitt Romney,0,2012-10-30
"""The truth is David Cicilline voted for tougher laws against child abusers, domestic abusers and abusers of the elderly.""",David Cicilline,1,2012-10-30
"Bill Clinton presided over ""the biggest expansion of the American economy since World War II.""",Tim Kaine,1,2012-10-29
"Says Maggie Hassan pays zero property taxes on her $500,000 home.",Republican Governors Association,0,2012-10-29
"Sherrod Brown ""voted six times to raise his own pay.""",Josh Mandel,0,2012-10-29
"""New Jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade.""",Tom  Kean Jr.,0,2012-10-28
"Says that ""when Congressman (Steve) Cohen took office in 2007, the unemployment rate was at 4.8 percent. The unemployment rate in Shelby County has reached 9.7 percent.""",George Flinn,0,2012-10-28
Rhode Island has taken its federal Medicaid funding and shown it can run the program more cost-effectively than the federal government.,Mitt Romney,1,2012-10-28
"Says Multnomah County libraries ""are open 44 hours per week … the lowest of any library in the four-county region.""",Libraries Yes! Committee,1,2012-10-26
"Says ""the typical homeowner will pay $4 more per month"" if library district passes.",Libraries Yes! Committee,1,2012-10-26
"""Under President Obama: $4,000 tax hike on middle-class families.""",Mitt Romney,0,2012-10-26
"Says U.S. Senate rival Tommy Thompson ran Medicare ""into the ground"" and ""nine years closer to bankruptcy.""",Tammy Baldwin,0,2012-10-26
"Says when he was governor, ""most of the Democrats"" voted for his billion-dollar property-tax cuts, but U.S. Senate rival Tammy Baldwin ""voted against it.""",Tommy Thompson,0,2012-10-26
"Says the Central Health district's tax rate is the ""lowest among the largest counties in Texas, and it will continue to be the lowest"" if voters approve a proposed tax increase.",Keep Austin Healthy PAC,1,2012-10-26
"Says U.S. Senate opponent Tommy Thompson ""personally made over $3 million"" from a federal contract granted to his healthcare company, but left  9/11 first responders ""without the care they were promised.""",Tammy Baldwin,0,2012-10-26
"Says ""Tammy Baldwin had the opportunity to vote to honor the victims of 9/11 and she voted against it.""",Tommy Thompson,0,2012-10-26
"""6,400 Ohioans ... lost manufacturing jobs in the month of September.""",Mitt Romney,1,2012-10-26
"""One industry in America has increased its employment base in the last four years by 176,000 people: the United States government.""",Johnny Isakson,1,2012-10-26
"""If Buehler were elected, our vote-by-mail system would be at risk.""",Bill Bradbury,0,2012-10-26
"""We got back every dime used to rescue the banks.""",Barack Obama,1,2012-10-25
Says GM used taxpayer dollars to prop up operations in China.,Let Freedom Ring,0,2012-10-25
Says 55 percent of council members have come from area where only 10 percent of Austinites live.,Gonzalo Barrientos,1,2012-10-25
"""There’s 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They don’t have to wait until they’re 65.""",Jesse Ventura,1,2012-10-25
